site,year,canopy_layer,frequency
SP 9,2018,1,0.054534744
SP 9,2018,2,0.120444376
SP 9,2018,3,0.353321692
SP 9,2018,4,0.471699188
SP10,2015,1,0.02305318
SP10,2015,2,0.067626311
SP10,2015,3,0.304848535
SP10,2015,4,0.604471975
SP10,2018,1,0.212091821
SP10,2018,2,0.294767683
SP10,2018,3,0.339913592
SP10,2018,4,0.153226904
SP11,2015,1,0.268097957
SP11,2015,2,0.404273219
SP11,2015,3,0.273348328
SP11,2015,4,0.054280496
SP11,2018,1,0.255624343
SP11,2018,2,0.491895925
SP11,2018,3,0.222927482
SP11,2018,4,0.02955225
SP12,2015,1,0.102952129
SP12,2015,2,0.123743113
SP12,2015,3,0.287888362
SP12,2015,4,0.485416396
SP12,2018,1,0.18143897
SP12,2018,2,0.156338803
SP12,2018,3,0.202903627
SP12,2018,4,0.4593186
SP13,2015,1,0.085872715
SP13,2015,2,0.17735576
SP13,2015,3,0.301757809
SP13,2015,4,0.435013716
SP13,2018,1,0.085770483
SP13,2018,2,0.196008951
SP13,2018,3,0.276409406
SP13,2018,4,0.441811159
SP14,2015,1,0.246770806
SP14,2015,2,0.223473101
SP14,2015,3,0.268364438
SP14,2015,4,0.261391656
SP14,2018,1,0.376441096
SP14,2018,2,0.313888929
SP14,2018,3,0.221153831
SP14,2018,4,0.088516144
SP15,2015,1,0.288875197
SP15,2015,2,0.191844911
SP15,2015,3,0.269308346
SP15,2015,4,0.249971545
SP15,2018,1,0.504778491
SP15,2018,2,0.237914449
SP15,2018,3,0.137501167
SP15,2018,4,0.119805892
