Transect,Species,Year,Density Estimate,se,cv,lcl,ucl,df
Channel ,SPTO,2015,0.706613581,0.138710333,0.19577993,0.446437337,1.118506362,7.123905804
Channel ,SPTO,2011,1.247420906,0.32684835,0.262019298,0.692542253,2.246879391,8.475369426
Channel ,SPTO,2018,0.592976894,0.10948254,0.184446517,0.382572248,0.920016048,6.806642666
Channel ,SPTO,2019,0.759299682,0.188553919,0.248326088,0.43520164,1.324756052,8.671029324
Channel ,SPTO,2020,0.805787417,0.129919636,0.161233141,0.564919906,1.149354723,10.390797
South Side,SPTO,2012,1.206897163,0.39607023,0.327534541,0.612727374,2.427122639,15.34460289
South Side,SPTO,2016,1.422269384,0.400496123,0.281589499,0.797713403,2.535810723,18.95506116
South Side,SPTO,2010,1.41414213,0.382063495,0.269516219,0.817372667,2.450721436,23.58095342
South Side,SPTO,2013,1.031145303,0.352659081,0.354605483,0.486264123,2.218198095,9.161095621
South Side,SPTO,2014,0.9244751,0.31086373,0.326399998,0.470951913,1.993810067,69.80386884
South Side,SPTO,2015,0.792407228,0.217395492,0.2806919,0.459322199,1.416165057,72.03699311
South Side,SPTO,2011,1.828632065,0.623694053,0.341071375,0.895569439,3.733820165,13.52159108
South Side,SPTO,2018,0.934634167,0.314327021,0.341104836,0.428661288,2.038062793,8.673808672
South Side,SPTO,2019,1.706723261,0.428731362,0.251201453,1.034155602,2.816698264,37.50177593
South Side,SPTO,2020,0.731452826,0.417844425,0.571252731,0.213278834,2.508562279,7.748520191
Channel,WREN,2012,0.070050117,0.014315653,0.53693717,0.053248396,0.154088289,32.52550151
Channel,WREN,2016,0.096068732,0.024975736,0.25997778,0.049092966,0.187994372,4.675768592
Channel,WREN,2010,0,0,0,0,0,0
Channel,WREN,2013,0.068048685,0.049678993,0.809527065,0.010671561,0.928195205,3.064821696
Channel,WREN,2014,0.105789973,0.033081718,0.368374433,0.039225684,0.286264627,4.307996792
Channel,WREN,2015,0.120085915,0.00856613,0.071333344,0.10413629,0.138478401,60
Channel,WREN,2011,0.030021479,0.019770001,0.658528568,0.007310885,0.123280452,7.167091481
Channel,WREN,2018,0.144746415,0.02679999,0.186933442,0.09577304,0.219556766,9.063930173
Channel,WREN,2019,0.135096654,0.070380349,0.520962934,0.042774153,0.426685382,7.269743143
Channel,WREN,2020,0.137241046,0.076705359,0.558909754,0.038701336,0.486678403,6.200183325
South Side,WREN,2012,0.067965791,0.044282286,0.651537868,0.016059456,0.287640418,6.227428633
South Side,WREN,2016,0.190304214,0.040339194,0.2531245,0.123807553,0.351532773,21.69196121
South Side,WREN,2010,0.039646711,0.039801723,1.00390982,0.004682279,0.335704404,5.078616228
South Side,WREN,2013,0.237880268,0.106141101,0.446195483,0.00258865,21.85966852,1.083563092
South Side,WREN,2014,0.190304214,0.058521571,0.380516156,0.112867568,0.522552671,21.57106986
South Side,WREN,2015,0.033982895,0.034115762,1.00390982,0.004439637,0.260119708,6.094329881
South Side,WREN,2011,0.067965791,0.044282286,0.651537868,0.016059456,0.287640418,6.227428633
South Side,WREN,2018,0.190304214,0.040339194,0.2531245,0.123807553,0.351532773,21.69196121
South Side,WREN,2019,0.305846058,0.103641122,0.338866952,0.139950405,0.668392571,6.905193445
South Side,WREN,2020,0.237880268,0.07637143,0.321049874,0.113475138,0.4986733,7.020497885
Channel,YBCH,2012,0.186027888,0.033206752,0.17000607,0.129156374,0.272018237,112.5285633
Channel,YBCH,2016,0.28720095,0.064947477,0.226569393,0.175482512,0.470273691,11.07470118
Channel,YBCH,2010,0.282538596,0.051754632,0.183204947,0.192841896,0.413956006,17.92403361
Channel,YBCH,2013,0.290464597,0.053908016,0.185796423,0.196286771,0.430950201,18.05501894
Channel,YBCH,2014,0.261558008,0.052642274,0.201211979,0.170763607,0.400651496,14.54519627
Channel,YBCH,2015,0.274146361,0.055249946,0.202931248,0.178935164,0.420199629,14.36677716
Channel,YBCH,2011,0.489547073,0.107269131,0.219119136,0.307146039,0.780268363,13.47824859
Channel,YBCH,2018,0.134275769,0.059496205,0.439295713,0.046201814,0.394863251,5.805745946
Channel,YBCH,2019,0.313310127,0.069504867,0.221840473,0.195295378,0.50263983,13.22919562
Channel,YBCH,2020,0.358068716,0.091697926,0.256090303,0.203381484,0.630407464,9.495139931
South Side,YBCH,2012,0.205212031,0.014569975,0.070999615,0.178380006,0.236080145,148
South Side,YBCH,2016,0.319544448,0.049796638,0.158859892,0.222843684,0.462360002,8.846054323
South Side,YBCH,2010,0.32980505,0.084319086,0.260985133,0.121451103,5.133946221,4.728449202
South Side,YBCH,2013,0.235993836,0.075542196,0.355793794,0.110676061,0.553305049,5.101968239
South Side,YBCH,2014,0.246254437,0.066536031,0.320910528,0.132846685,0.527546975,5.042362564
South Side,YBCH,2015,0.390880059,0.07444337,0.185406705,0.253606963,0.607998299,8.001915795
South Side,YBCH,2011,0.234528035,0.084573601,0.360611904,0.101243339,0.543279193,6.493260517
South Side,YBCH,2018,0.324919049,0.088747075,0.276519701,0.159270616,0.704859207,4.807247784
South Side,YBCH,2019,0.52768808,0.130995638,0.248244451,0.296525561,0.939058031,7.114377199
South Side,YBCH,2020,0.557004084,0.158287733,0.28417697,0.287191525,1.080301898,6.824297325
Channel,YEWA,2012,1.048272358,0.1933198,0.183763672,0.694354154,1.617484415,9.071824245
Channel,YEWA,2016,0.900189274,0.142904845,0.158246116,0.626300595,1.295118491,8.044681978
Channel,YEWA,2010,1.118416977,0.154940664,0.135674815,0.827960482,1.52440577,13.00967206
Channel,YEWA,2013,1.4574493,0.289558537,0.195922481,0.925448451,2.295973962,7.82172984
Channel,YEWA,2014,1.418480068,0.165116337,0.11692318,1.10287422,1.824899808,12.48698937
Channel,YEWA,2015,0.935261583,0.180495357,0.197099705,0.597883575,1.466610248,7.256243984
Channel,YEWA,2018,0.443729662,0.196222934,0.448775882,0.14497268,1.360728012,4.655812849
Channel,YEWA,2011,2.182277027,0.312713016,0.143296663,1.588603456,2.997811068,10.03503414
Channel,YEWA,2019,1.145695439,0.315075611,0.275008174,0.611833364,2.145384864,7.672269764
Channel,YEWA,2020,1.434067761,0.461538423,0.321838643,0.673113274,3.055281217,6.412902646
South Side,YEWA,2012,1.512683771,0.325061644,0.238676795,0.923205512,2.548453669,7.263082595
South Side,YEWA,2016,1.821677103,0.309693995,0.172123603,1.248196065,2.666157124,9.921401317
South Side,YEWA,2010,1.660262676,0.273435124,0.165158446,1.158158801,2.38111119,10.97662785
South Side,YEWA,2013,1.56802586,0.272935553,0.203093065,1.089061846,2.34119451,14.61036913
South Side,YEWA,2014,1.975405128,0.369261827,0.190017484,1.293950153,3.017532608,8.507051814
South Side,YEWA,2015,1.660262676,0.315799479,0.190210551,1.094494904,2.554084844,10.87056973
South Side,YEWA,2018,1.429670638,0.306317358,0.239729416,0.894340335,2.347791976,8.805029678
South Side,YEWA,2011,2.674867644,0.487388583,0.182210355,1.784689334,4.009054561,9.652100106
South Side,YEWA,2019,3.689472612,0.435237052,0.117967281,2.894808948,4.702282051,24.12660656
South Side,YEWA,2020,2.121446752,0.353939917,0.166838935,1.471496136,3.058476479,10.72921193
